Description	
Number of Runs	500
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	1000
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
254	1000	693	1	11/25/11 05:30:35 AM	
255	1000	627	1	11/25/11 05:30:36 AM	
256	1000	622	1	11/25/11 05:30:37 AM	
257	1000	621	1	11/25/11 05:30:39 AM	
258	1000	625	1	11/25/11 05:30:40 AM	
259	1000	659	1	11/25/11 05:30:41 AM	
260	1000	640	1	11/25/11 05:30:42 AM	
261	1000	612	1	11/25/11 05:30:43 AM	
262	1000	661	1	11/25/11 05:30:45 AM	
263	1000	669	1	11/25/11 05:30:46 AM	
264	1000	583	1	11/25/11 05:30:47 AM	
265	1000	616	1	11/25/11 05:30:48 AM	
266	1000	622	1	11/25/11 05:30:49 AM	
267	1000	657	1	11/25/11 05:30:51 AM	
268	1000	655	1	11/25/11 05:30:52 AM	
269	1000	658	1	11/25/11 05:30:53 AM	
270	1000	625	1	11/25/11 05:30:54 AM	
271	1000	640	1	11/25/11 05:30:55 AM	
272	1000	676	1	11/25/11 05:30:57 AM	
273	1000	614	1	11/25/11 05:30:58 AM	
274	1000	627	1	11/25/11 05:30:59 AM	
275	1000	607	1	11/25/11 05:31:00 AM	
276	1000	618	1	11/25/11 05:31:02 AM	
277	1000	682	1	11/25/11 05:31:03 AM	
278	1000	588	1	11/25/11 05:31:04 AM	
279	1000	626	1	11/25/11 05:31:05 AM	
280	1000	648	1	11/25/11 05:31:07 AM	
281	1000	680	1	11/25/11 05:31:08 AM	
282	1000	632	1	11/25/11 05:31:09 AM	
283	1000	665	1	11/25/11 05:31:10 AM	
284	1000	626	1	11/25/11 05:31:11 AM	
285	1000	634	1	11/25/11 05:31:13 AM	
286	1000	645	1	11/25/11 05:31:14 AM	
287	1000	666	1	11/25/11 05:31:15 AM	
288	1000	642	1	11/25/11 05:31:16 AM	
289	1000	625	1	11/25/11 05:31:17 AM	
290	1000	678	1	11/25/11 05:31:19 AM	
291	1000	698	1	11/25/11 05:31:20 AM	
292	1000	651	1	11/25/11 05:31:21 AM	
293	1000	635	1	11/25/11 05:31:22 AM	
294	1000	654	1	11/25/11 05:31:24 AM	
295	1000	637	1	11/25/11 05:31:25 AM	
296	1000	667	1	11/25/11 05:31:26 AM	
297	1000	646	1	11/25/11 05:31:27 AM	
298	1000	618	1	11/25/11 05:31:29 AM	
299	1000	651	1	11/25/11 05:31:30 AM	
300	1000	651	1	11/25/11 05:31:31 AM	
301	1000	617	1	11/25/11 05:31:32 AM	
302	1000	649	1	11/25/11 05:31:33 AM	
303	1000	650	1	11/25/11 05:31:35 AM	
304	1000	645	1	11/25/11 05:31:36 AM	
305	1000	646	1	11/25/11 05:31:37 AM	
306	1000	621	1	11/25/11 05:31:38 AM	
307	1000	631	1	11/25/11 05:31:40 AM	
308	1000	679	1	11/25/11 05:31:41 AM	
309	1000	629	1	11/25/11 05:31:42 AM	
310	1000	656	1	11/25/11 05:31:43 AM	
311	1000	650	1	11/25/11 05:31:44 AM	
312	1000	634	1	11/25/11 05:31:46 AM	
313	1000	632	1	11/25/11 05:31:47 AM	
314	1000	635	1	11/25/11 05:31:48 AM	
315	1000	638	1	11/25/11 05:31:49 AM	
316	1000	628	1	11/25/11 05:31:51 AM	
317	1000	688	1	11/25/11 05:31:52 AM	
318	1000	642	1	11/25/11 05:31:53 AM	
319	1000	650	1	11/25/11 05:31:54 AM	
320	1000	654	1	11/25/11 05:31:55 AM	
321	1000	669	1	11/25/11 05:31:56 AM	
322	1000	600	1	11/25/11 05:31:58 AM	
323	1000	645	1	11/25/11 05:31:59 AM	
324	1000	616	1	11/25/11 05:32:00 AM	
325	1000	654	1	11/25/11 05:32:01 AM	
326	1000	625	1	11/25/11 05:32:03 AM	
327	1000	634	1	11/25/11 05:32:04 AM	
328	1000	655	1	11/25/11 05:32:05 AM	
329	1000	649	1	11/25/11 05:32:06 AM	
330	1000	649	1	11/25/11 05:32:07 AM	
331	1000	644	1	11/25/11 05:32:09 AM	
332	1000	616	1	11/25/11 05:32:10 AM	
333	1000	633	1	11/25/11 05:32:11 AM	
334	1000	669	1	11/25/11 05:32:12 AM	
335	1000	617	1	11/25/11 05:32:14 AM	
336	1000	628	1	11/25/11 05:32:15 AM	
337	1000	680	1	11/25/11 05:32:16 AM	
338	1000	635	1	11/25/11 05:32:17 AM	
339	1000	689	1	11/25/11 05:32:19 AM	
340	1000	645	1	11/25/11 05:32:20 AM	
341	1000	602	1	11/25/11 05:32:21 AM	
342	1000	643	1	11/25/11 05:32:22 AM	
343	1000	645	1	11/25/11 05:32:24 AM	
344	1000	673	1	11/25/11 05:32:25 AM	
345	1000	660	1	11/25/11 05:32:26 AM	
346	1000	658	1	11/25/11 05:32:27 AM	
347	1000	614	1	11/25/11 05:32:28 AM	
348	1000	628	1	11/25/11 05:32:30 AM	
349	1000	664	1	11/25/11 05:32:31 AM	
350	1000	613	1	11/25/11 05:32:32 AM	
351	1000	651	1	11/25/11 05:32:33 AM	
352	1000	670	1	11/25/11 05:32:34 AM	
353	1000	654	1	11/25/11 05:32:36 AM	
354	1000	638	1	11/25/11 05:32:37 AM	
355	1000	638	1	11/25/11 05:32:38 AM	
356	1000	640	1	11/25/11 05:32:39 AM	
357	1000	620	1	11/25/11 05:32:41 AM	
358	1000	654	1	11/25/11 05:32:42 AM	
